epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9639672636985779,0.0010000000474974513,0.1149994358420372,0.9654289484024048,0.145030677318573
1,0.9799716472625732,0.0010000000474974513,0.07952361553907394,0.9812206625938416,0.07731881737709045
2,0.9843156933784485,0.0010000000474974513,0.05053846538066864,0.9891164898872375,0.08904220163822174
3,0.9917691946029663,0.0010000000474974513,0.03173565864562988,0.9805804491043091,0.0740792527794838
4,0.9961132407188416,0.0010000000474974513,0.01765388436615467,0.9895433187484741,0.04591481015086174
5,0.9975307583808899,0.0010000000474974513,0.01042395830154419,0.991037130355835,0.041910670697689056
6,0.9986281991004944,0.0010000000474974513,0.007576942443847656,0.9901835322380066,0.0513610802590847
7,0.9984452724456787,0.0010000000474974513,0.007078272290527821,0.9916773438453674,0.05048040673136711
8,0.9990397095680237,0.00020000000949949026,0.00540936877951026,0.9908237457275391,0.041273511946201324
9,0.9993598461151123,0.00020000000949949026,0.003959794994443655,0.9916773438453674,0.04070429876446724
10,0.999405562877655,0.00020000000949949026,0.003705388167873025,0.9925309419631958,0.04203225299715996
11,0.9994969964027405,0.00020000000949949026,0.003302445402368903,0.9923175573348999,0.04270287603139877
12,0.9994969964027405,4.0000002627493814e-05,0.003091986756771803,0.9925309419631958,0.042916521430015564
13,0.9995427131652832,4.0000002627493814e-05,0.0029857337940484285,0.9921041131019592,0.04323527216911316
